f (Hz),u[f] (Hz),V0,u[V0]
89770,2.88675134594813,0.274,0.000288675134594813
210100,28.8675134594813,0.692,0.000288675134594813
328900,28.8675134594813,1.18,0.00288675134594813
609800,28.8675134594813,3.45,0.00288675134594813
668400,28.8675134594813,4.04,0.00288675134594813
710200,28.8675134594813,4.19,0.00288675134594813
770000,28.8675134594813,3.78,0.00288675134594813
830500,28.8675134594813,3.03,0.00288675134594813
969000,288.675134594813,1.74,0.00288675134594813
1338000,3500,0.444,0.000288675134594813
1500000,2999.99999999995,0.212,0.000288675134594813
559400,28.8675134594813,2.84,0.00288675134594813
479800,28.8675134594813,2.08,0.00288675134594813
650200,28.8675134594813,3.82,0.00288675134594813
729900,28.8675134594813,4.06,0.00288675134594813
110000,28.8675134594813,0.346,0.000288675134594813
10000,288.675134594813,0.0298,2.88675134594813E-06
